cod_valoremedio_liquidazione;count
017T;5371
065T;2524
033T;2478
016T;2334
031T;1850
122R;1438
055T;1077
007T;905
019T;788
004T;761
032T;683
020T;414
023T;388
080T;366
169R;250
079T;205
045T;126
046T;96
083T;71
038T;58
002T;50
091T;49
077T;40
105T;30
028T;27
029T;25
015T;25
109T;23
009T;23
178R;22
085T;13
063T;7
044T;7
064T;6
008T;6
026T;6
076T;5
140A;5
022T;5
003T;4
056T;4
167R;4
024T;3
057T;3
005T;3
148T;3
154R;2
160R;2
113T;2
018T;2
052T;2
070T;2
013T;2
168R;1
156A;1
006T;1
170R;1
066T;1
043T;1
047T;1
053T;1
059T;1
061T;1
035T;1
075T;1
025T;1
081T;1
021T;1
119T;1
112T;1
138R;1
146R;1
